R,S,rep,hash,sort
100000,100000,1,3,3
100000,1000000,1,10,26
100000,10000000,1,87,242
100000,100000000,1,862,2405
100000,1000000000,1,8594,24034
1000000,100000,1,19,8
1000000,1000000,1,29,47
1000000,10000000,1,132,354
1000000,100000000,1,1140,3294
1000000,1000000000,1,11259,32699
10000000,100000,1,392,55
10000000,1000000,1,403,98
10000000,10000000,1,537,576
10000000,100000000,1,1895,4438
10000000,1000000000,1,15474,41143
100000000,100000,1,5596,463
100000000,1000000,1,5624,596
100000000,10000000,1,5829,1062
100000000,100000000,1,7865,6406
100000000,1000000000,1,28140,52443
1000000000,100000,1,74811,3961
1000000000,1000000,1,74852,4348
1000000000,10000000,1,75122,5950
1000000000,100000000,1,77809,12560
1000000000,1000000000,1,104773,83927
