Query,Runtime (ms)
1a,221
1b,78
1c,31
1d,136
2a,41
2b,38
2d,50
3a,253
3b,182
3c,386
4a,28
4b,24
4c,33
5c,58
6a,77
6b,104
6c,76
6d,118
6e,80
6f,356
7a,107
7b,94
7c,202
8a,15
8b,4
8c,516
8d,239
9a,54
9b,31
9c,165
9d,208
10a,77
10c,321
11a,37
11b,16
11c,70
11d,71
12a,32
12b,49
12c,93
13a,1097
13b,50
13c,50
13d,1182
14a,211
14b,58
14c,378
15a,305
15b,243
15c,362
15d,371
16a,130
16b,417
16c,171
16d,163
17a,205
17b,1037
17c,711
17d,779
17e,312
17f,235
18a,747
18b,41
18c,303
19a,72
19b,13
19c,152
19d,691
20a,444
20b,267
20c,359
21a,41
21b,43
21c,69
22a,81
22b,68
22c,127
22d,198
23a,58
23b,56
23c,103
24a,221
24b,43
25a,859
25b,40
25c,910
26a,180
26b,150
26c,204
27a,20
27b,17
27c,24
28a,55
28b,40
28c,57
29a,77
29b,61
29c,95
30a,50
30b,28
30c,71
31a,889
31b,66
31c,933
32b,88
33a,28
33b,26
33c,34
