Query,Runtime (ms)
1a,222
1b,93
1c,30
1d,147
2a,167
2b,164
2d,174
3a,104
3b,52
3c,216
4a,93
4b,65
4c,124
5c,73
6a,477
6b,459
6c,457
6d,511
6e,490
6f,923
7a,944
7b,923
7c,1006
8a,16
8b,6
8c,2125
8d,1798
9a,82
9b,59
9c,130
9d,180
10a,189
10c,380
11a,119
11b,96
11c,156
11d,160
12a,111
12b,338
12c,166
13a,715
13b,304
13c,304
13d,705
14a,78
14b,29
14c,188
15a,152
15b,108
15c,274
15d,279
16a,792
16b,1018
16c,833
16d,829
17a,735
17b,688
17c,651
17d,660
17e,948
17f,767
18a,654
18b,58
18c,316
19a,115
19b,42
19c,221
19d,788
20a,1666
20b,1267
20c,1681
21a,88
21b,89
21c,122
22a,193
22b,177
22c,253
22d,373
23a,226
23b,169
23c,300
24a,191
24b,141
25a,560
25b,47
25c,600
26a,1564
26b,1514
26c,1549
27a,131
27b,125
27c,143
28a,146
28b,118
28c,147
29a,279
29b,271
29c,318
30a,150
30b,137
30c,181
31a,629
31b,54
31c,674
32b,136
33a,152
33b,138
33c,164
