Query,Runtime (ms)
1a,218
1b,113
1c,29
1d,179
2a,40
2b,38
2d,49
3a,229
3b,171
3c,354
4a,28
4b,24
4c,32
5c,58
6a,72
6b,99
6c,72
6d,108
6e,76
6f,1397
7a,178
7b,80
7c,897
8a,15
8b,4
8c,581
8d,249
9a,56
9b,32
9c,167
9d,221
10a,77
10c,363
11a,97
11b,10
11c,140
11d,142
12a,34
12b,225
12c,87
13a,1579
13b,184
13c,116
13d,1658
14a,214
14b,58
14c,382
15a,261
15b,215
15c,311
15d,317
16a,245
16b,1509
16c,789
16d,799
17a,1331
17b,1049
17c,710
17d,777
17e,1462
17f,1300
18a,1390
18b,52
18c,317
19a,67
19b,14
19c,141
19d,657
20a,447
20b,268
20c,1105
21a,101
21b,103
21c,151
22a,80
22b,66
22c,118
22d,236
23a,148
23b,95
23c,241
24a,218
24b,43
25a,863
25b,43
25c,945
26a,518
26b,228
26c,673
27a,26
27b,17
27c,38
28a,100
28b,66
28c,104
29a,79
29b,60
29c,162
30a,109
30b,33
30c,146
31a,880
31b,68
31c,946
32b,161
33a,27
33b,26
33c,51
