Query,Runtime (ms)
1a,199
1b,72
1c,29
1d,123
2a,49
2b,46
2d,58
3a,227
3b,157
3c,362
4a,31
4b,25
4c,38
5c,52
6a,69
6b,91
6c,66
6d,108
6e,74
6f,339
7a,105
7b,94
7c,192
8a,24
8b,7
8c,490
8d,250
9a,69
9b,41
9c,179
9d,219
10a,88
10c,315
11a,36
11b,18
11c,64
11d,67
12a,35
12b,60
12c,85
13a,986
13b,55
13c,54
13d,1052
14a,187
14b,50
14c,346
15a,278
15b,218
15c,339
15d,344
16a,147
16b,366
16c,183
16d,176
17a,213
17b,883
17c,619
17d,673
17e,304
17f,235
18a,694
18b,38
18c,279
19a,78
19b,21
19c,158
19d,662
20a,438
20b,241
20c,343
21a,41
21b,42
21c,65
22a,76
22b,65
22c,121
22d,191
23a,60
23b,55
23c,105
24a,209
24b,56
25a,821
25b,43
25c,870
26a,191
26b,159
26c,210
27a,20
27b,17
27c,25
28a,57
28b,40
28c,57
29a,78
29b,62
29c,105
30a,55
30b,34
30c,75
31a,854
31b,64
31c,891
32b,83
33a,29
33b,26
33c,35
