Query,Runtime (ms)
1a,217
1b,92
1c,49
1d,143
2a,241
2b,239
2d,253
3a,277
3b,175
3c,453
4a,90
4b,42
4c,141
5c,148
6a,88
6b,90
6c,67
6d,178
6e,148
6f,565
7a,138
7b,128
7c,222
8a,207
8b,52
8c,834
8d,595
9a,343
9b,283
9c,533
9d,608
10a,308
10c,579
11a,60
11b,42
11c,86
11d,98
12a,94
12b,137
12c,146
13a,1056
13b,132
13c,132
13d,1120
14a,223
14b,56
14c,415
15a,379
15b,277
15c,515
15d,518
16a,396
16b,749
16c,481
16d,459
17a,419
17b,1088
17c,819
17d,878
17e,657
17f,455
18a,722
18b,76
18c,367
19a,332
19b,242
19c,499
19d,1004
20a,710
20b,308
20c,576
21a,66
21b,66
21c,90
22a,100
22b,89
22c,146
22d,213
23a,68
23b,59
23c,113
24a,499
24b,326
25a,1040
25b,128
25c,1088
26a,356
26b,326
26c,376
27a,22
27b,18
27c,27
28a,60
28b,45
28c,61
29a,126
29b,109
29c,323
30a,121
30b,99
30c,142
31a,1138
31b,150
31c,1265
32b,223
33a,45
33b,39
33c,54
