Query,Runtime (ms)
1a,223
1b,77
1c,30
1d,135
2a,39
2b,37
2d,48
3a,254
3b,181
3c,389
4a,28
4b,23
4c,32
5c,56
6a,73
6b,100
6c,73
6d,115
6e,77
6f,355
7a,106
7b,94
7c,203
8a,12
8b,4
8c,510
8d,232
9a,56
9b,31
9c,161
9d,204
10a,75
10c,316
11a,37
11b,16
11c,69
11d,71
12a,32
12b,50
12c,89
13a,1050
13b,46
13c,47
13d,1119
14a,210
14b,58
14c,378
15a,304
15b,242
15c,365
15d,370
16a,130
16b,375
16c,172
16d,162
17a,204
17b,1035
17c,709
17d,777
17e,308
17f,231
18a,718
18b,40
18c,300
19a,69
19b,11
19c,148
19d,680
20a,436
20b,260
20c,356
21a,42
21b,43
21c,69
22a,79
22b,66
22c,124
22d,195
23a,59
23b,53
23c,106
24a,217
24b,43
25a,875
25b,40
25c,922
26a,180
26b,150
26c,203
27a,19
27b,16
27c,24
28a,56
28b,38
28c,55
29a,75
29b,60
29c,92
30a,50
30b,27
30c,70
31a,901
31b,67
31c,942
32b,86
33a,28
33b,26
33c,33
