Query,Runtime (ms)
1a,219
1b,91
1c,29
1d,145
2a,163
2b,161
2d,180
3a,102
3b,50
3c,209
4a,93
4b,65
4c,125
5c,71
6a,454
6b,440
6c,440
6d,489
6e,475
6f,897
7a,907
7b,898
7c,977
8a,15
8b,6
8c,2056
8d,1723
9a,81
9b,58
9c,128
9d,178
10a,189
10c,375
11a,118
11b,94
11c,156
11d,156
12a,111
12b,342
12c,164
13a,719
13b,304
13c,304
13d,693
14a,77
14b,28
14c,189
15a,150
15b,103
15c,271
15d,277
16a,794
16b,1016
16c,835
16d,830
17a,731
17b,695
17c,650
17d,658
17e,934
17f,761
18a,612
18b,56
18c,312
19a,114
19b,40
19c,217
19d,781
20a,1675
20b,1252
20c,1678
21a,88
21b,89
21c,120
22a,187
22b,173
22c,244
22d,369
23a,221
23b,164
23c,290
24a,186
24b,137
25a,562
25b,47
25c,601
26a,1542
26b,1502
26c,1537
27a,125
27b,121
27c,139
28a,141
28b,114
28c,140
29a,272
29b,265
29c,311
30a,143
30b,131
30c,173
31a,630
31b,50
31c,695
32b,131
33a,147
33b,133
33c,159
