Query,Runtime (ms)
1a,142
1b,73
1c,37
1d,107
2a,174
2b,173
2d,184
3a,132
3b,52
3c,267
4a,59
4b,22
4c,83
5c,71
6a,110
6b,108
6c,103
6d,152
6e,140
6f,519
7a,119
7b,112
7c,191
8a,97
8b,21
8c,744
8d,445
9a,171
9b,148
9c,269
9d,375
10a,157
10c,331
11a,63
11b,55
11c,63
11d,68
12a,90
12b,140
12c,117
13a,970
13b,137
13c,138
13d,1031
14a,91
14b,21
14c,234
15a,182
15b,113
15c,324
15d,330
16a,387
16b,876
16c,471
16d,440
17a,341
17b,299
17c,310
17d,314
17e,664
17f,399
18a,720
18b,52
18c,263
19a,178
19b,122
19c,309
19d,585
20a,436
20b,185
20c,385
21a,68
21b,68
21c,81
22a,82
22b,73
22c,121
22d,191
23a,74
23b,44
23c,123
24a,260
24b,212
25a,697
25b,88
25c,744
26a,310
26b,302
26c,341
27a,27
27b,24
27c,31
28a,65
28b,44
28c,68
29a,82
29b,67
29c,187
30a,91
30b,77
30c,114
31a,790
31b,84
31c,938
32b,107
33a,40
33b,36
33c,53
