Query,Runtime (ms)
1a,341
1b,203
1c,52
1d,279
2a,544
2b,544
2d,554
3a,282
3b,150
3c,496
4a,272
4b,192
4c,335
5c,141
6a,2165
6b,2148
6c,2158
6d,2233
6e,2229
6f,3154
7a,5398
7b,5357
7c,5465
8a,105
8b,26
8c,5215
8d,4978
9a,318
9b,251
9c,524
9d,598
10a,659
10c,1052
11a,384
11b,358
11c,471
11d,478
12a,397
12b,2695
12c,467
13a,3252
13b,1850
13c,1847
13d,2370
14a,287
14b,187
14c,543
15a,402
15b,279
15c,856
15d,863
16a,3030
16b,3562
16c,3110
16d,3271
17a,2716
17b,2639
17c,2645
17d,2636
17e,3474
17f,2733
18a,2896
18b,122
18c,532
19a,335
19b,198
19c,690
19d,3325
20a,5198
20b,4025
20c,4827
21a,322
21b,341
21c,429
22a,803
22b,791
22c,911
22d,1329
23a,1014
23b,948
23c,1120
24a,742
24b,684
25a,1439
25b,266
25c,1481
26a,4082
26b,3980
26c,4141
27a,756
27b,716
27c,845
28a,905
28b,771
28c,880
29a,1304
29b,1284
29c,1487
30a,918
30b,862
30c,982
31a,1766
31b,272
31c,1939
32b,441
33a,827
33b,787
33c,880
