Query,Runtime (ms)
1a,141
1b,73
1c,36
1d,109
2a,172
2b,174
2d,181
3a,131
3b,50
3c,265
4a,60
4b,23
4c,82
5c,71
6a,114
6b,112
6c,108
6d,157
6e,143
6f,496
7a,112
7b,106
7c,168
8a,96
8b,20
8c,512
8d,371
9a,167
9b,140
9c,247
9d,302
10a,157
10c,331
11a,52
11b,45
11c,63
11d,65
12a,91
12b,140
12c,119
13a,967
13b,136
13c,137
13d,1004
14a,90
14b,21
14c,233
15a,183
15b,110
15c,318
15d,324
16a,327
16b,578
16c,382
16d,360
17a,303
17b,265
17c,276
17d,278
17e,555
17f,325
18a,729
18b,40
18c,241
19a,132
19b,77
19c,261
19d,509
20a,382
20b,186
20c,384
21a,59
21b,58
21c,71
22a,82
22b,73
22c,117
22d,184
23a,66
23b,42
23c,100
24a,248
24b,203
25a,693
25b,87
25c,739
26a,316
26b,245
26c,278
27a,27
27b,24
27c,32
28a,61
28b,44
28c,62
29a,71
29b,58
29c,173
30a,88
30b,76
30c,107
31a,795
31b,86
31c,931
32b,108
33a,40
33b,37
33c,53
