Query,Runtime (ms)
1a,255
1b,113
1c,31
1d,183
2a,39
2b,37
2d,47
3a,269
3b,180
3c,432
4a,28
4b,23
4c,32
5c,57
6a,72
6b,100
6c,71
6d,109
6e,76
6f,1449
7a,182
7b,82
7c,918
8a,13
8b,4
8c,581
8d,244
9a,55
9b,32
9c,166
9d,219
10a,74
10c,423
11a,97
11b,10
11c,139
11d,141
12a,35
12b,224
12c,91
13a,1512
13b,186
13c,116
13d,1585
14a,226
14b,58
14c,451
15a,315
15b,249
15c,388
15d,398
16a,245
16b,1566
16c,784
16d,795
17a,1368
17b,1041
17c,708
17d,779
17e,1508
17f,1334
18a,1243
18b,52
18c,370
19a,68
19b,12
19c,149
19d,687
20a,434
20b,259
20c,1136
21a,105
21b,105
21c,155
22a,80
22b,66
22c,124
22d,255
23a,165
23b,90
23c,276
24a,223
24b,42
25a,1221
25b,42
25c,1281
26a,515
26b,227
26c,671
27a,26
27b,15
27c,37
28a,100
28b,64
28c,104
29a,77
29b,57
29c,160
30a,108
30b,32
30c,148
31a,1234
31b,68
31c,1273
32b,156
33a,26
33b,23
33c,51
