Query,Runtime (ms)
1a,219
1b,105
1c,29
1d,165
2a,39
2b,37
2d,47
3a,231
3b,172
3c,348
4a,27
4b,23
4c,32
5c,56
6a,70
6b,96
6c,69
6d,106
6e,74
6f,1386
7a,174
7b,77
7c,891
8a,12
8b,4
8c,570
8d,241
9a,55
9b,32
9c,165
9d,217
10a,74
10c,356
11a,97
11b,11
11c,138
11d,140
12a,34
12b,224
12c,86
13a,1386
13b,185
13c,115
13d,1462
14a,209
14b,58
14c,366
15a,264
15b,218
15c,316
15d,322
16a,240
16b,1468
16c,773
16d,783
17a,1315
17b,1039
17c,707
17d,779
17e,1440
17f,1282
18a,1138
18b,51
18c,318
19a,64
19b,12
19c,138
19d,639
20a,432
20b,258
20c,1104
21a,101
21b,102
21c,148
22a,78
22b,64
22c,113
22d,227
23a,148
23b,90
23c,239
24a,215
24b,42
25a,879
25b,42
25c,921
26a,508
26b,220
26c,671
27a,25
27b,15
27c,37
28a,97
28b,63
28c,100
29a,75
29b,58
29c,158
30a,107
30b,32
30c,146
31a,880
31b,68
31c,924
32b,153
33a,25
33b,22
33c,49
