Query,Runtime (ms)
1a,142
1b,74
1c,39
1d,107
2a,173
2b,170
2c,171
2d,181
3a,132
3b,51
3c,266
4a,59
4b,23
4c,83
5c,71
6a,114
6b,112
6c,107
6d,156
6e,142
6f,494
7a,112
7b,106
7c,168
8a,98
8b,21
8c,518
8d,369
9a,168
9b,140
9c,247
9d,303
10a,155
10b,131
10c,332
11a,53
11b,45
11c,63
11d,66
12a,90
12b,140
12c,119
13a,958
13b,138
13c,138
13d,1001
14a,91
14b,20
14c,234
15a,181
15b,110
15c,319
15d,323
16a,326
16b,577
16c,382
16d,362
17a,300
17b,266
17c,275
17d,277
17e,554
17f,326
18a,729
18b,41
18c,243
19a,134
19b,77
19c,261
19d,512
20a,381
20b,186
20c,385
21a,58
21b,57
21c,71
22a,82
22b,74
22c,118
22d,184
23a,66
23b,43
23c,101
24a,247
24b,202
25a,697
25b,86
25c,742
26a,317
26b,246
26c,282
27a,27
27b,24
27c,32
28a,62
28b,43
28c,63
29a,70
29b,58
29c,173
30a,89
30b,78
30c,110
31a,790
31b,86
31c,936
32a,108
32b,109
33a,40
33b,37
33c,53
